[2026-05-08 23:46:19] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_2Gl | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:46:24] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_3VR | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:46:25] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /rest/admin/application-configuration | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:46:26] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /api/SecurityQuestions/ | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:46:29] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_4jl | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:46:29] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /rest/admin/application-configuration | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:46:34] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_5zV | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:46:40] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_7Bu | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:46:45] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_8QK | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
[2026-05-08 23:46:50] BLOCKED | IP: 192.168.11.134 | Method: GET | URI: /socket.io/?EIO=4&transport=polling&t=Pu9_9ef | Location: Header:Cookie | Rule: XSS-002 (XSS - Event handler) | Payload: ontinueCode=
